D = 2;
n = [ 20 20 ];
N = 64;
d = [ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
    [ 1.00 0.93 0.23 0.47 0.89 0.67 0.45 0.51 0.50 0.24 0.32 0.84 0.20 0.81 0.95 0.38 0.66 0.83 0.76 0.44 0.29 0.27 0.32 0.32 0.95 0.66 0.99 0.38 0.51 0.77 0.61 0.52 0.87 0.21 0.18 0.44 0.63 0.65 0.55 0.63 0.66 0.95 0.67 0.37 0.85 0.68 0.89 0.99 0.43 0.35 0.37 0.68 0.50 0.78 0.48 0.92 0.56 0.82 0.85 0.71 0.57 0.65 0.93 0.59 ]
    [ 0.93 1.00 0.31 0.72 0.53 0.42 0.79 0.36 0.26 0.84 0.25 0.88 0.39 0.18 0.18 0.81 0.35 0.58 0.87 0.26 0.22 0.84 0.94 0.87 0.98 0.46 0.57 0.57 0.38 0.63 0.99 0.16 0.33 0.55 0.44 0.91 0.55 0.78 0.99 0.96 0.45 0.26 0.20 0.32 0.65 0.71 0.83 0.32 0.51 0.18 0.32 0.99 0.91 0.87 0.52 0.68 0.31 0.84 0.18 0.89 0.80 0.26 0.30 0.87 ]
    [ 0.23 0.31 1.00 0.37 0.84 0.93 0.66 0.88 0.46 0.47 0.94 0.21 0.22 0.41 0.63 0.56 0.78 0.59 0.53 0.96 0.60 0.73 0.89 0.49 0.17 0.62 0.35 0.16 0.43 0.56 0.55 0.80 0.33 0.77 0.30 0.37 0.80 0.85 0.93 0.25 0.78 0.77 0.46 0.29 0.78 0.56 0.21 0.75 0.93 0.63 0.59 0.42 0.87 0.63 0.93 0.47 0.18 0.32 0.43 0.52 0.64 0.51 0.62 0.52 ]
    [ 0.47 0.72 0.37 1.00 0.53 0.28 0.46 0.87 0.93 0.97 0.78 0.41 0.18 0.17 0.87 0.37 0.38 0.35 0.21 0.48 0.63 0.98 0.74 0.94 0.95 0.29 0.52 0.92 0.84 0.18 0.85 0.61 0.36 0.46 0.27 0.52 0.67 0.59 0.23 0.23 0.29 0.71 0.42 0.61 0.58 0.65 0.39 0.97 0.83 0.62 0.54 0.87 0.62 0.35 0.74 0.61 0.39 0.95 0.63 0.59 0.26 0.38 0.95 0.90 ]
    [ 0.89 0.53 0.84 0.53 1.00 0.91 0.76 0.62 0.35 0.87 0.39 0.92 0.87 0.33 0.25 0.47 0.98 0.73 0.90 0.90 0.47 0.85 0.81 0.53 0.45 0.87 0.99 0.50 0.78 0.68 0.59 0.17 0.71 0.47 0.96 0.34 0.43 0.90 0.46 0.99 0.54 0.34 0.47 0.70 0.83 0.41 0.23 0.98 0.62 0.29 0.35 0.16 0.38 0.46 0.89 0.32 0.97 0.28 0.44 0.78 0.76 0.57 0.39 0.95 ]
    [ 0.67 0.42 0.93 0.28 0.91 1.00 0.94 0.83 0.44 0.64 0.76 0.87 0.95 0.50 0.48 0.19 0.64 0.71 0.23 0.85 0.54 0.72 0.37 0.91 0.62 0.54 0.97 0.27 0.83 0.51 0.45 0.60 0.97 0.59 0.65 0.86 0.67 0.84 0.56 0.89 0.19 0.59 1.00 0.27 0.65 0.27 0.22 0.26 0.62 0.44 0.65 0.53 0.48 0.97 0.40 0.41 0.68 0.82 0.87 0.76 0.59 0.19 0.64 0.17 ]
    [ 0.45 0.79 0.66 0.46 0.76 0.94 1.00 0.38 0.67 0.89 0.83 0.84 0.18 0.45 0.94 0.97 0.52 0.39 0.77 0.45 0.51 0.79 0.45 0.27 0.56 0.27 0.33 0.30 0.90 0.85 0.68 0.99 0.72 0.25 0.52 0.79 0.71 0.35 0.98 0.95 0.74 0.51 0.22 0.23 0.83 0.32 0.43 0.60 0.54 0.15 0.19 0.99 0.86 0.30 0.50 0.92 0.91 0.28 0.91 0.24 0.58 0.68 0.98 0.69 ]
    [ 0.51 0.36 0.88 0.87 0.62 0.83 0.38 1.00 0.53 0.81 0.29 0.89 0.40 0.53 0.54 0.90 0.31 0.53 0.34 0.20 0.65 0.78 0.70 0.32 0.58 0.94 0.64 0.67 0.38 0.50 0.19 0.30 0.21 0.74 0.82 0.54 0.84 0.53 0.78 0.86 0.39 0.64 0.96 0.91 0.78 0.45 0.64 0.24 0.97 0.47 0.76 0.21 0.86 0.98 0.93 0.94 0.59 0.32 0.40 0.41 0.66 0.31 0.72 0.84 ]
    [ 0.50 0.26 0.46 0.93 0.35 0.44 0.67 0.53 1.00 0.17 0.82 0.60 0.64 0.23 0.62 0.89 0.83 0.90 0.17 0.94 0.67 0.78 0.34 0.33 0.23 0.77 0.33 0.34 0.58 0.79 0.83 0.96 0.22 0.26 0.80 0.56 0.57 0.64 0.38 0.47 0.30 0.41 0.22 0.42 0.47 0.62 0.61 0.99 0.73 0.68 0.61 0.83 0.95 0.88 0.34 0.52 0.63 0.84 0.26 0.65 0.52 0.89 0.60 0.57 ]
    [ 0.24 0.84 0.47 0.97 0.87 0.64 0.89 0.81 0.17 1.00 0.39 0.30 0.99 0.80 0.79 0.41 0.47 0.28 0.26 0.95 0.70 1.00 0.48 0.33 0.54 0.22 0.43 0.31 0.83 0.39 0.86 0.76 0.41 0.91 0.17 0.60 0.70 0.18 0.54 0.52 0.75 0.19 0.73 0.74 0.54 0.29 0.85 0.96 0.64 0.44 0.60 0.51 0.35 0.45 0.67 0.25 0.92 0.31 0.77 0.56 0.27 0.59 0.34 0.48 ]
    [ 0.32 0.25 0.94 0.78 0.39 0.76 0.83 0.29 0.82 0.39 1.00 0.74 0.45 0.78 0.52 0.26 0.80 0.37 0.47 0.98 0.37 0.50 0.81 0.57 0.64 0.83 0.32 0.24 0.59 0.54 0.96 0.32 0.94 0.35 0.36 0.61 0.48 0.79 0.49 0.35 0.60 0.21 0.29 0.33 0.69 0.23 0.98 0.31 0.55 0.86 0.38 0.50 0.37 0.16 0.78 1.00 0.34 0.94 0.80 0.95 0.16 0.74 0.25 0.38 ]
