D = 2;
n = [ 5 5 ];
N = 16;
d = [ 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 ];
m = [
    [ 1.00 0.35 0.85 0.90 0.97 0.71 0.94 0.51 0.99 1.00 0.68 0.72 0.87 0.79 0.59 0.98 ]
    [ 0.35 1.00 0.64 0.33 0.48 0.72 0.95 0.26 0.96 0.23 0.85 0.60 0.47 0.83 0.17 0.25 ]
    [ 0.85 0.64 1.00 0.28 0.48 0.97 0.46 0.33 0.97 0.88 0.42 0.37 0.45 0.44 0.31 0.24 ]
    [ 0.90 0.33 0.28 1.00 0.63 0.78 0.55 0.76 0.92 0.98 0.94 0.62 0.58 0.32 0.19 0.21 ]
    [ 0.97 0.48 0.48 0.63 1.00 0.34 0.48 0.52 0.80 0.57 0.25 0.66 0.83 0.34 0.34 0.66 ]
    [ 0.71 0.72 0.97 0.78 0.34 1.00 0.17 0.53 0.17 0.61 0.45 0.23 0.80 0.86 0.27 0.91 ]
    [ 0.94 0.95 0.46 0.55 0.48 0.17 1.00 0.66 0.21 0.98 0.49 0.41 0.44 0.83 0.38 0.66 ]
    [ 0.51 0.26 0.33 0.76 0.52 0.53 0.66 1.00 0.73 0.80 0.23 0.96 0.87 0.81 0.57 0.87 ]
    [ 0.99 0.96 0.97 0.92 0.80 0.17 0.21 0.73 1.00 0.63 0.61 0.45 0.20 0.75 0.85 0.76 ]
    [ 1.00 0.23 0.88 0.98 0.57 0.61 0.98 0.80 0.63 1.00 0.42 0.47 0.43 0.53 0.59 0.77 ]
    [ 0.68 0.85 0.42 0.94 0.25 0.45 0.49 0.23 0.61 0.42 1.00 0.23 0.93 0.59 0.21 0.21 ]
    [ 0.72 0.60 0.37 0.62 0.66 0.23 0.41 0.96 0.45 0.47 0.23 1.00 0.72 0.55 0.34 0.63 ]
    [ 0.87 0.47 0.45 0.58 0.83 0.80 0.44 0.87 0.20 0.43 0.93 0.72 1.00 0.49 0.56 0.18 ]
    [ 0.79 0.83 0.44 0.32 0.34 0.86 0.83 0.81 0.75 0.53 0.59 0.55 0.49 1.00 0.91 0.86 ]
    [ 0.59 0.17 0.31 0.19 0.34 0.27 0.38 0.57 0.85 0.59 0.21 0.34 0.56 0.91 1.00 0.52 ]
    [ 0.98 0.25 0.24 0.21 0.66 0.91 0.66 0.87 0.76 0.77 0.21 0.63 0.18 0.86 0.52 1.00 ]
];
