D = 2;
n = [ 10 10 ];
N = 32;
d = [ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
    [ 1.00 1.00 0.46 0.78 0.81 0.93 0.46 0.46 0.53 0.16 0.41 0.59 0.25 0.32 0.79 1.00 0.22 0.77 0.80 0.86 0.84 0.28 0.21 0.26 0.43 0.71 0.67 0.89 0.53 0.48 0.74 0.41 ]
    [ 1.00 1.00 0.47 0.90 0.81 0.22 0.94 0.51 0.90 0.90 0.44 0.91 0.17 0.53 0.85 0.87 0.80 0.74 0.15 0.86 0.86 0.47 0.65 0.58 0.57 0.94 0.76 0.61 0.83 0.38 0.63 0.39 ]
    [ 0.46 0.47 1.00 0.38 0.91 0.74 0.77 0.69 0.82 0.76 0.38 0.95 0.43 0.61 0.62 0.91 0.32 0.39 0.62 0.18 0.15 0.33 0.22 0.97 0.46 0.95 0.19 0.59 0.54 0.51 0.61 0.78 ]
    [ 0.78 0.90 0.38 1.00 0.48 0.63 0.34 0.62 0.44 0.41 0.53 0.20 0.80 0.84 0.56 0.84 0.58 0.50 0.36 0.23 0.98 0.97 0.89 0.71 0.19 0.29 0.65 0.85 0.19 0.37 0.91 0.45 ]
    [ 0.81 0.81 0.91 0.48 1.00 0.93 0.49 0.61 0.20 0.36 0.99 0.98 0.35 0.98 0.46 0.95 0.58 0.56 0.22 0.76 0.44 0.35 0.21 0.64 0.70 0.90 0.17 0.80 0.19 0.28 0.64 0.73 ]
    [ 0.93 0.22 0.74 0.63 0.93 1.00 0.97 0.48 0.66 0.17 0.82 0.54 0.31 0.86 0.88 0.47 0.80 0.30 0.23 0.36 0.36 0.90 0.70 0.89 0.67 0.47 0.79 0.90 0.57 0.37 0.28 0.48 ]
    [ 0.46 0.94 0.77 0.34 0.49 0.97 1.00 0.32 0.65 0.67 0.18 0.19 0.89 0.57 0.36 0.83 0.51 0.87 0.40 0.86 0.85 0.79 0.44 0.45 0.82 0.28 0.20 0.76 0.52 0.77 0.28 0.49 ]
    [ 0.46 0.51 0.69 0.62 0.61 0.48 0.32 1.00 0.37 0.83 0.34 0.43 0.61 0.96 0.30 0.74 0.62 0.91 0.28 0.60 0.69 0.19 0.60 0.58 0.84 0.49 0.93 0.93 0.87 0.28 0.49 0.75 ]
    [ 0.53 0.90 0.82 0.44 0.20 0.66 0.65 0.37 1.00 0.95 0.80 0.19 0.63 0.28 0.93 0.58 0.67 0.61 0.57 0.34 0.19 0.65 0.70 0.60 0.24 0.47 0.19 0.70 0.94 0.96 0.58 0.35 ]
    [ 0.16 0.90 0.76 0.41 0.36 0.17 0.67 0.83 0.95 1.00 0.89 0.71 1.00 0.46 0.77 0.38 0.44 0.81 0.85 0.54 0.52 0.44 0.68 0.77 0.27 0.39 0.24 0.94 0.56 0.20 0.44 0.71 ]
    [ 0.41 0.44 0.38 0.53 0.99 0.82 0.18 0.34 0.80 0.89 1.00 0.31 0.96 0.24 0.58 0.78 0.70 0.53 1.00 0.47 0.75 0.70 0.30 0.23 0.22 0.53 0.92 0.28 0.42 0.18 0.82 0.53 ]
