D = 2;
n = [ 20 20 ];
N = 48;
d = [ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
    [ 1.00 0.33 0.94 0.99 0.90 0.29 0.18 0.64 0.57 0.90 0.52 0.82 0.52 0.31 0.21 0.26 0.74 0.97 0.44 0.43 0.65 0.23 0.63 0.93 0.47 0.23 0.95 0.97 0.62 0.58 0.59 0.92 0.44 0.72 0.57 0.96 0.50 0.70 0.89 0.56 0.74 0.94 0.39 0.34 0.51 0.98 0.69 0.77 ]
    [ 0.33 1.00 0.46 0.50 0.45 0.32 0.81 0.38 0.40 0.19 0.16 0.21 0.42 0.31 0.31 0.48 0.36 0.22 0.89 0.97 0.50 0.79 0.47 0.31 0.92 0.63 0.55 0.98 0.55 0.60 0.58 0.25 0.64 0.30 0.29 0.22 0.33 0.90 0.68 0.47 0.31 0.89 0.93 0.28 0.57 0.30 0.46 0.68 ]
    [ 0.94 0.46 1.00 0.46 0.39 0.68 0.85 0.47 0.70 0.59 0.65 0.25 0.48 0.58 0.22 0.44 0.55 0.80 0.95 0.46 0.78 0.34 0.15 0.79 0.69 0.56 0.48 0.63 0.69 0.33 0.85 0.50 0.75 0.76 0.23 0.84 0.73 0.77 0.89 0.56 0.47 0.46 0.50 0.58 0.57 0.18 0.74 0.71 ]
    [ 0.99 0.50 0.46 1.00 0.33 0.35 0.77 0.61 0.49 0.53 0.18 0.16 0.20 0.99 0.95 0.58 0.59 0.49 0.91 0.55 0.24 0.91 0.74 0.79 0.61 0.28 0.32 0.40 0.83 0.86 0.50 0.72 0.86 0.44 0.76 0.64 0.23 0.81 0.15 0.30 0.37 0.33 0.62 0.55 0.75 0.99 0.35 0.73 ]
    [ 0.90 0.45 0.39 0.33 1.00 0.65 0.92 0.51 0.98 0.71 0.89 0.78 0.86 0.37 0.79 0.43 0.65 0.42 0.76 0.73 0.75 0.60 0.19 0.20 0.94 0.66 0.88 0.49 0.21 0.32 0.93 0.60 0.91 0.43 0.66 0.37 0.24 0.96 0.30 0.94 0.78 0.43 0.94 0.35 0.48 0.99 0.84 0.66 ]
    [ 0.29 0.32 0.68 0.35 0.65 1.00 0.18 0.25 0.21 0.18 0.56 0.97 0.32 0.16 0.60 0.24 0.24 0.80 0.74 0.69 0.48 0.64 0.38 0.92 0.32 0.99 0.58 0.72 0.65 0.46 0.70 0.63 0.64 0.82 0.97 0.81 0.60 0.56 0.53 0.66 1.00 0.85 0.39 0.66 0.56 0.90 0.83 0.34 ]
    [ 0.18 0.81 0.85 0.77 0.92 0.18 1.00 0.91 0.78 0.36 0.84 0.35 0.35 0.26 0.53 0.93 0.77 0.74 0.61 0.62 0.88 0.89 0.53 0.84 0.92 0.33 0.20 0.63 0.92 0.69 0.42 0.60 0.21 0.60 0.18 0.85 0.86 0.65 0.95 0.28 0.38 0.44 0.98 0.25 0.28 0.67 0.21 0.45 ]
    [ 0.64 0.38 0.47 0.61 0.51 0.25 0.91 1.00 0.80 0.47 0.82 0.78 0.17 0.47 0.35 0.93 0.36 0.61 0.32 0.30 0.94 0.43 0.72 0.67 0.51 0.63 0.40 0.56 0.96 0.20 0.24 0.95 0.61 0.98 0.60 0.99 0.49 0.39 0.69 0.88 0.85 0.42 0.34 0.91 0.95 0.37 0.36 0.66 ]
    [ 0.57 0.40 0.70 0.49 0.98 0.21 0.78 0.80 1.00 0.73 0.81 0.70 0.29 0.91 0.44 0.62 0.88 0.55 0.32 0.66 0.16 0.89 0.31 0.76 0.19 0.66 0.64 0.21 0.17 0.35 0.42 0.22 0.34 0.72 0.38 0.65 0.65 0.51 0.40 0.56 0.35 0.56 0.73 0.98 0.79 0.89 0.77 0.92 ]
    [ 0.90 0.19 0.59 0.53 0.71 0.18 0.36 0.47 0.73 1.00 0.66 0.74 0.55 0.78 0.36 0.76 0.19 0.33 0.89 0.86 0.78 0.15 0.40 0.94 0.31 0.44 0.59 0.23 0.37 0.82 0.78 0.53 0.23 0.60 0.31 0.58 0.58 0.21 0.61 0.74 0.48 0.71 0.34 0.70 0.36 0.22 0.93 0.91 ]
