D = 2;
n = [ 20 20 ];
N = 64;
d = [ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
    [ 1.00 0.21 0.78 0.65 0.54 0.86 0.28 0.76 0.30 0.91 0.58 0.94 0.76 0.49 0.75 0.70 0.18 0.40 0.86 0.77 0.95 0.21 0.68 0.33 0.98 0.51 0.29 0.72 0.41 0.49 0.56 0.75 0.92 0.39 0.88 0.10 0.14 0.65 0.42 0.79 0.55 0.16 0.54 0.60 0.13 0.35 0.34 0.38 0.48 0.25 0.59 0.37 0.29 0.17 0.25 0.65 0.22 0.39 0.62 0.33 0.14 0.78 0.50 0.82 ]
    [ 0.21 1.00 0.80 0.90 0.11 0.87 0.21 0.21 0.23 0.18 0.38 0.96 0.73 0.91 0.49 0.70 0.89 0.71 0.76 0.99 0.16 0.85 0.44 0.44 0.92 0.24 0.17 0.17 0.37 0.40 0.26 0.88 0.57 0.98 0.97 0.98 0.56 0.64 0.74 0.84 0.38 0.27 0.39 0.84 0.18 0.22 0.38 0.93 0.11 0.69 0.27 0.11 0.56 0.89 0.82 0.19 0.39 0.30 0.54 0.45 0.48 0.85 0.30 0.77 ]
    [ 0.78 0.80 1.00 0.71 0.30 0.30 0.18 0.18 0.79 0.20 0.35 0.88 0.76 0.79 0.91 0.90 0.50 0.76 0.18 0.49 0.60 0.69 0.15 0.28 0.91 0.23 0.50 0.71 0.31 0.93 0.54 0.74 0.72 0.42 0.80 0.48 0.79 0.42 0.30 0.15 0.19 0.40 0.25 0.11 0.62 1.00 0.53 0.53 0.84 0.59 0.44 0.66 0.40 0.33 0.96 0.69 0.78 0.62 0.22 0.26 0.80 0.90 0.83 0.97 ]
    [ 0.65 0.90 0.71 1.00 0.27 0.31 0.96 0.95 0.59 0.78 0.38 0.44 0.79 0.74 0.56 0.78 0.99 0.91 0.42 0.97 0.92 0.16 0.66 0.85 0.14 0.93 0.63 0.70 0.12 0.14 0.93 0.39 0.55 0.49 0.46 0.22 0.28 0.62 0.19 0.27 0.98 0.70 0.96 0.29 0.17 0.50 0.80 0.78 0.94 0.58 0.12 0.12 0.83 0.65 0.19 0.61 0.39 0.62 0.12 0.67 0.45 0.47 0.54 0.57 ]
    [ 0.54 0.11 0.30 0.27 1.00 0.99 0.96 0.53 0.19 0.25 0.66 0.84 0.80 0.41 0.48 0.11 0.48 0.17 0.86 0.61 0.76 0.47 0.11 0.35 0.85 0.27 0.88 0.45 0.26 0.45 0.94 0.30 0.70 0.66 0.53 0.33 0.84 0.45 0.10 0.36 0.95 0.28 0.80 0.58 0.58 0.46 0.88 0.66 0.51 0.45 0.87 0.20 0.25 0.64 0.28 0.56 0.75 0.37 0.12 0.93 0.63 0.94 0.25 0.41 ]
    [ 0.86 0.87 0.30 0.31 0.99 1.00 0.49 0.30 0.92 0.67 0.98 0.41 0.40 0.10 0.57 0.63 0.67 0.74 0.30 0.88 0.44 0.79 0.52 0.19 0.85 0.55 0.29 0.37 0.36 0.73 0.29 0.96 0.18 0.61 0.90 0.71 0.81 0.24 0.77 0.57 0.17 0.61 0.78 0.16 0.47 0.28 0.76 0.96 0.17 0.83 0.80 0.50 0.10 0.66 0.25 0.28 0.91 0.86 0.24 0.81 0.19 0.85 0.86 0.14 ]
    [ 0.28 0.21 0.18 0.96 0.96 0.49 1.00 0.66 0.74 0.68 0.11 0.87 0.52 0.19 0.22 0.25 0.13 0.35 0.60 0.31 0.77 0.29 0.37 0.14 0.14 0.21 0.33 0.78 0.30 0.47 0.73 0.92 0.26 0.79 0.34 0.18 0.96 0.38 0.83 0.64 0.23 0.35 0.40 0.70 0.15 0.60 0.23 0.60 0.20 0.16 0.77 0.32 0.73 0.59 0.61 0.28 0.44 0.61 0.24 0.81 0.44 0.11 0.65 0.80 ]
    [ 0.76 0.21 0.18 0.95 0.53 0.30 0.66 1.00 0.36 0.52 0.40 0.18 0.24 0.89 0.27 0.68 0.77 0.40 0.58 0.85 0.79 0.34 0.20 0.79 0.70 0.54 0.97 0.97 0.63 0.56 0.47 0.68 0.78 0.78 0.48 0.75 0.88 0.44 0.45 0.78 0.43 0.85 0.90 0.82 0.93 0.45 0.55 0.74 0.56 0.69 0.23 0.96 0.42 0.47 0.96 0.88 0.63 0.48 0.94 0.55 0.48 0.37 0.33 0.72 ]
    [ 0.30 0.23 0.79 0.59 0.19 0.92 0.74 0.36 1.00 0.40 0.72 0.40 0.86 0.53 0.78 0.78 0.52 0.47 0.13 0.51 0.33 0.27 0.76 0.63 0.75 0.62 0.17 0.31 0.51 0.60 0.80 0.99 0.68 0.20 0.17 0.95 0.23 0.70 0.69 0.35 0.95 0.30 0.70 0.69 0.82 0.52 0.27 0.56 0.62 0.78 0.78 0.77 0.38 0.90 0.75 0.63 0.93 0.36 0.29 0.69 0.53 0.32 0.72 0.23 ]
    [ 0.91 0.18 0.20 0.78 0.25 0.67 0.68 0.52 0.40 1.00 0.72 0.94 0.16 0.52 0.74 0.58 0.83 0.64 0.15 0.99 0.78 0.33 0.70 0.49 0.57 0.85 0.14 0.78 0.73 0.13 0.36 0.26 0.29 0.51 0.67 0.88 0.11 0.28 0.18 0.70 0.83 0.98 0.87 0.21 0.24 0.90 0.34 0.12 0.34 0.88 0.42 0.53 0.24 0.91 0.68 0.21 0.74 0.35 0.89 0.86 0.82 0.72 0.37 0.96 ]
