D = 2;
n = [ 10 10 ];
N = 32;
d = [ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
    [ 1.00 0.36 0.80 0.54 0.45 0.23 0.54 0.47 0.82 0.77 0.26 0.90 0.53 0.81 0.99 0.16 0.40 0.94 0.91 0.40 0.49 0.74 0.75 1.00 0.12 0.70 0.30 0.87 0.33 0.22 0.41 0.84 ]
    [ 0.36 1.00 0.43 0.70 0.22 0.81 0.55 0.14 0.58 0.38 0.63 0.90 0.16 0.37 0.76 0.45 0.87 0.96 0.23 0.30 0.16 0.59 0.88 0.58 0.21 0.74 0.48 0.68 0.39 0.51 0.95 0.46 ]
    [ 0.80 0.43 1.00 0.10 0.61 0.38 0.74 0.90 0.30 0.70 0.42 0.17 0.27 0.71 0.51 0.31 0.18 0.67 0.20 0.86 0.64 0.67 0.95 0.41 0.90 0.62 1.00 0.62 0.64 0.66 0.20 0.15 ]
    [ 0.54 0.70 0.10 1.00 0.57 0.86 0.14 0.41 0.84 0.68 0.42 0.76 0.67 0.59 0.27 0.76 0.40 0.73 0.51 0.67 0.44 0.96 0.70 0.79 0.37 0.63 0.99 0.65 0.19 0.64 1.00 0.21 ]
    [ 0.45 0.22 0.61 0.57 1.00 0.41 0.29 0.22 0.37 0.63 1.00 0.18 0.85 0.36 0.54 0.50 0.64 0.41 0.26 0.70 0.24 0.71 0.65 0.97 0.51 0.24 0.71 0.82 0.23 0.34 0.81 0.58 ]
    [ 0.23 0.81 0.38 0.86 0.41 1.00 0.33 0.60 0.72 0.22 0.36 0.55 0.21 0.12 0.75 0.44 0.64 0.86 0.93 0.65 0.89 0.66 0.60 0.99 0.18 0.25 0.12 0.51 0.84 0.84 0.99 0.71 ]
    [ 0.54 0.55 0.74 0.14 0.29 0.33 1.00 0.68 0.58 0.62 0.34 0.47 0.32 0.26 0.23 0.18 0.72 0.23 0.96 0.83 0.98 0.12 0.76 0.52 0.37 0.73 0.57 0.53 0.93 0.50 0.77 0.36 ]
    [ 0.47 0.14 0.90 0.41 0.22 0.60 0.68 1.00 0.83 0.58 0.23 0.61 0.93 0.73 0.63 0.78 0.67 0.23 0.99 0.89 0.44 0.41 0.25 0.99 0.90 0.23 0.29 0.92 0.26 0.96 0.86 0.69 ]
    [ 0.82 0.58 0.30 0.84 0.37 0.72 0.58 0.83 1.00 0.51 0.46 0.32 0.88 0.95 0.60 0.29 0.88 0.65 0.60 0.52 0.17 0.63 0.11 0.34 0.62 0.94 0.40 0.87 0.35 0.58 0.39 0.47 ]
    [ 0.77 0.38 0.70 0.68 0.63 0.22 0.62 0.58 0.51 1.00 0.21 0.23 0.48 0.54 0.54 0.54 0.53 0.85 0.11 0.98 0.14 0.69 0.28 0.60 0.15 0.44 0.84 0.68 0.68 0.85 0.89 0.19 ]
    [ 0.26 0.63 0.42 0.42 1.00 0.36 0.34 0.23 0.46 0.21 1.00 0.28 0.89 0.51 0.36 0.38 0.13 0.35 0.38 0.58 0.65 0.82 0.45 0.64 0.32 0.20 0.12 0.73 0.49 0.90 0.12 0.30 ]
    [ 0.90 0.90 0.17 0.76 0.18 0.55 0.47 0.61 0.32 0.23 0.28 1.00 0.36 0.36 0.36 0.49 0.41 0.83 0.95 0.65 0.23 0.22 0.34 0.32 0.27 0.34 0.99 0.99 0.77 0.45 0.38 0.60 ]
    [ 0.53 0.16 0.27 0.67 0.85 0.21 0.32 0.93 0.88 0.48 0.89 0.36 1.00 0.91 0.66 0.29 0.82 0.40 0.15 0.23 0.23 0.11 0.89 0.60 0.59 0.89 0.63 0.32 0.89 0.50 0.43 0.25 ]
    [ 0.81 0.37 0.71 0.59 0.36 0.12 0.26 0.73 0.95 0.54 0.51 0.36 0.91 1.00 0.77 0.49 0.95 0.70 0.42 0.53 0.94 0.30 0.46 0.23 0.83 0.33 0.86 0.81 0.93 0.71 0.81 0.70 ]
    [ 0.99 0.76 0.51 0.27 0.54 0.75 0.23 0.63 0.60 0.54 0.36 0.36 0.66 0.77 1.00 0.15 0.48 0.47 0.73 0.77 0.54 0.40 0.80 0.25 0.32 0.82 0.28 0.93 0.82 0.20 0.14 0.48 ]
    [ 0.16 0.45 0.31 0.76 0.50 0.44 0.18 0.78 0.29 0.54 0.38 0.49 0.29 0.49 0.15 1.00 0.84 0.47 0.57 0.54 0.73 0.86 0.55 0.20 0.17 0.49 0.18 0.33 0.20 0.98 0.88 0.25 ]
    [ 0.40 0.87 0.18 0.40 0.64 0.64 0.72 0.67 0.88 0.53 0.13 0.41 0.82 0.95 0.48 0.84 1.00 0.21 0.63 0.72 0.67 0.24 0.33 0.54 0.55 0.12 0.95 0.42 0.75 0.29 0.23 0.98 ]
    [ 0.94 0.96 0.67 0.73 0.41 0.86 0.23 0.23 0.65 0.85 0.35 0.83 0.40 0.70 0.47 0.47 0.21 1.00 0.34 0.57 0.65 0.98 0.14 0.14 0.36 0.69 0.52 0.49 0.45 0.43 0.15 0.38 ]
    [ 0.91 0.23 0.20 0.51 0.26 0.93 0.96 0.99 0.60 0.11 0.38 0.95 0.15 0.42 0.73 0.57 0.63 0.34 1.00 0.63 0.12 0.26 0.18 0.91 0.82 0.38 0.67 0.32 0.51 0.22 0.66 0.73 ]
    [ 0.40 0.30 0.86 0.67 0.70 0.65 0.83 0.89 0.52 0.98 0.58 0.65 0.23 0.53 0.77 0.54 0.72 0.57 0.63 1.00 0.28 0.16 0.91 0.98 0.52 0.50 0.62 0.18 0.92 0.72 0.12 0.75 ]
